rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Baby Shark,Pinkfong,[],��������� ������ ������������,12/1/2015,2015,"[""children""]","[""und""]",,,,,,,spotify_streams,1041940561.0,streams,1041940561,Spotify,,210.6499855160461,5ygDXis42ncn6kYG14lEVG,,KRE671700001,https://kworb.net/spotify/songs.html,2026-09-12,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""children""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
2,Baby Shark,Super Simple Songs,[],Baby Shark & More Kids Songs,3/24/2017,2017,"[""children""]","[""und""]",,,,,,,spotify_streams_snapshot,53980875.0,streams,53980875,Spotify,,162.3059501972736,7e6klfDDVfvPDmx6fwXYN0,,TCADE1784654,https://gist.github.com/cooneycw/b4021d5d872ee4a07239f0ea25c23cd7,2026-09-12,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""children""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
3,Castaways,The Backyardigans,[],,,,"[""children""]","[""und""]",,,,,,,spotify_chart_streams_snapshot,2224490.0,streams,2224490,Spotify,,83.07230652988876,6uDBSDI9pDM7C4Gm0hc2hI,,,data/raw/spotify_top10000_streamed_songs_2023.csv,2026-09-12,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""children""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
4,The Chipmunk Song (Christmas Don't Be Late)  Remastered 1999,Alvin & The Chipmunks,[],,,1961,"[""children""]","[""und""]",,,,,,,spotify_chart_streams_snapshot,1865297.0,streams,1865297,Spotify,,74.60748224572056,7mZwaEEaHSeTYC2hTAjUki,,,data/raw/spotify_top10000_streamed_songs_2023.csv,2026-09-12,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""children""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
5,New Colossus,Tim Griffin,[],Wrong & Wright,,,"[""children's music""]","[""und""]",,,,,,,listenbrainz_tag_popularity_percent,100.0,score_0_100,,,,35.0,,2d6329be-e597-4f4c-a53f-92a04eef3494,,https://musicbrainz.org/recording/2d6329be-e597-4f4c-a53f-92a04eef3494,2026-09-12,"MusicBrainz tag membership and hydrated recording metadata; ListenBrainz popularity score, not listens.","{""culture_category"":""children_childhood"",""source_tag"":""children's music"",""listenbrainz_source_scope"":""release-group"",""source_popularity_band"":[95,100]}"
6,That Thing Will Never Fly,Tim Griffin,[],Wrong & Wright,,,"[""children's music""]","[""und""]",,,,,,,listenbrainz_tag_popularity_percent,100.0,score_0_100,,,,35.0,,bcaaf29a-b034-4571-b2d2-edc2ba9c1449,,https://musicbrainz.org/recording/bcaaf29a-b034-4571-b2d2-edc2ba9c1449,2026-09-12,"MusicBrainz tag membership and hydrated recording metadata; ListenBrainz popularity score, not listens.","{""culture_category"":""children_childhood"",""source_tag"":""children's music"",""listenbrainz_source_scope"":""release-group"",""source_popularity_band"":[95,100]}"
7,Sunflower,Tim Griffin,[],Wrong & Wright,,,"[""children's music""]","[""und""]",,,,,,,listenbrainz_tag_popularity_percent,100.0,score_0_100,,,,35.0,,b62db0d1-2c63-4755-8ad9-ac5b7e0e778f,,https://musicbrainz.org/recording/b62db0d1-2c63-4755-8ad9-ac5b7e0e778f,2026-09-12,"MusicBrainz tag membership and hydrated recording metadata; ListenBrainz popularity score, not listens.","{""culture_category"":""children_childhood"",""source_tag"":""children's music"",""listenbrainz_source_scope"":""release-group"",""source_popularity_band"":[95,100]}"
8,Tyrannosaur's Lullaby,Tim Griffin,[],Wrong & Wright,,,"[""children's music""]","[""und""]",,,,,,,listenbrainz_tag_popularity_percent,100.0,score_0_100,,,,35.0,,f41f8265-50da-41ce-a3e6-182081dc52af,,https://musicbrainz.org/recording/f41f8265-50da-41ce-a3e6-182081dc52af,2026-09-12,"MusicBrainz tag membership and hydrated recording metadata; ListenBrainz popularity score, not listens.","{""culture_category"":""children_childhood"",""source_tag"":""children's music"",""listenbrainz_source_scope"":""release-group"",""source_popularity_band"":[95,100]}"
9,I’ll Try,Jonatha Brooke,[],The Sweetwater Sessions,,,"[""children's music""]","[""und""]",,,,,,,listenbrainz_tag_popularity_percent,100.0,score_0_100,,,,35.0,,a935489c-f528-4afb-b05d-13e4fc8a727b,,https://musicbrainz.org/recording/a935489c-f528-4afb-b05d-13e4fc8a727b,2026-09-12,"MusicBrainz tag membership and hydrated recording metadata; ListenBrainz popularity score, not listens.","{""culture_category"":""children_childhood"",""source_tag"":""children's music"",""listenbrainz_source_scope"":""recording"",""source_popularity_band"":[95,100]}"
10,Christmas Together / O Christmas Tree,"Goofy, Mickey Mouse, Minnie Mouse, The Disney Holiday Chorus",[],Now That’s What I Call Disney!,,,"[""children's music""]","[""und""]",,,,,,,listenbrainz_tag_popularity_percent,100.0,score_0_100,,,,35.0,,0d1c3010-1f48-4b24-a3a5-8a6e679c0f49,,https://musicbrainz.org/recording/0d1c3010-1f48-4b24-a3a5-8a6e679c0f49,2026-09-12,"MusicBrainz tag membership and hydrated recording metadata; ListenBrainz popularity score, not listens.","{""culture_category"":""children_childhood"",""source_tag"":""children's music"",""listenbrainz_source_scope"":""release-group"",""source_popularity_band"":[95,100]}"
